input_file,time_sec,accuracy
n0001000_partial_50.txt,0.0000157,100.0000
n0001000_partial_80.txt,0.0000109,100.0000
n0001000_random.txt,0.0000228,100.0000
n0001000_sorted_asc.txt,0.0000084,100.0000
n0001000_sorted_desc.txt,0.0000137,100.0000
n0010000_partial_50.txt,0.0001982,100.0000
n0010000_partial_80.txt,0.0001395,100.0000
n0010000_random.txt,0.0002943,100.0000
n0010000_sorted_asc.txt,0.0000874,100.0000
n0010000_sorted_desc.txt,0.0001384,100.0000
n0100000_partial_50.txt,0.0023696,100.0000
n0100000_partial_80.txt,0.0016032,100.0000
n0100000_random.txt,0.0035926,100.0000
n0100000_sorted_asc.txt,0.0014275,100.0000
n0100000_sorted_desc.txt,0.0019619,100.0000
n1000000_partial_50.txt,0.0280461,100.0000
n1000000_partial_80.txt,0.0183847,100.0000
n1000000_random.txt,0.0407631,100.0000
n1000000_sorted_asc.txt,0.0137518,100.0000
n1000000_sorted_desc.txt,0.0197377,100.0000
